,0
641,250080
642,384339
643,2097
644,203052
645,3366
646,207211
647,371417
648,4305
649,203541
650,444727
651,328716
652,254168
653,219199
654,447182
655,303264
656,224410
657,4284
658,375206
659,277136
660,2228
661,164783
662,325027
663,182673
664,201952
665,795
666,403628
667,223600
668,297232
669,363717
670,4137
671,369140
672,4657
673,365761
674,141089
675,178615
676,4565
677,438817
678,1649
679,432075
680,194220
681,4669
682,216334
683,4628
684,401020
685,412824
686,419837
687,438625
688,276057
689,273056
690,876
691,1305
692,3225
693,199324
694,438594
695,4014
696,319310
697,448050
698,442341
699,155728
700,2824
701,332884
702,226893
703,219400
704,3455
705,3423
706,308361
707,288449
708,328057
709,442934
710,263532
711,352688
712,347704
713,2291
714,3758
715,411374
716,396749
717,355010
718,1129
719,2935
720,2196
721,957
722,4696
723,426852
724,386981
725,275257
726,390556
727,2332
728,2900
729,326953
730,390215
731,2215
732,206166
733,741
734,390919
735,355929
736,291834
737,4034
738,2970
739,4388
740,329113
741,3812
742,183545
743,3617
744,140883
745,174663
746,233604
747,164820
748,202881
749,442354
750,298109
751,4683
752,327229
753,1730
754,1827
755,397101
756,338567
757,842
758,259792
759,3289
760,2191
761,910
762,2178
763,4238
764,443896
765,3961
766,1097
767,331162
768,2273
769,355214
770,410225
771,358951
772,1041
773,3657
774,4672
775,4469
776,943
777,969
778,371363
779,365091
780,2363
781,187270
782,193249
783,845
784,319709
785,4136
786,4091
787,152766
788,4156
789,1992
790,401720
791,150940
792,171431
793,374713
794,1328
795,273847
796,365494
797,4542
798,201156
799,247380
800,332699
801,4601
802,179224
803,350266
804,413358
805,3260
806,392430
807,912
808,365980
809,4707
810,4718
811,4578
812,328965
813,1654
814,2078
815,338014
816,239995
817,348239
818,393374
819,219885
820,299756
821,235013
822,299647
823,177000
824,371362
825,1984
826,247527
827,180375
828,292310
829,231512
830,271054
831,2936
832,4254
833,428192
834,329112
835,371610
836,387202
837,381387
838,426358
839,398025
840,351344
841,427804
842,313530
843,408873
844,2534
845,287094
846,430943
847,316040
848,200593
849,430114
850,3221
851,193412
852,395570
853,402732
854,1329
855,439198
856,252131
857,186334
858,393952
859,318475
860,829
861,185575
862,3492
863,299829
864,244664
865,2294
866,4745
867,2736
868,330664
869,402589
870,4024
871,4258
872,378028
873,1826
874,317630
875,2212
876,404600
877,319957
878,281354
879,2446
880,218197
881,4608
882,437789
883,165531
884,389450
885,351768
886,402315
887,151882
888,297566
889,216073
890,430054
891,332647
892,388208
893,392169
894,357176
895,362856
896,318038
897,2395
898,323281
899,333079
900,429372
901,336279
902,411582
903,428732
904,384436
905,1360
906,384540
907,403522
908,385640
909,266094
910,385921
911,4382
912,296554
913,233133
914,337982
915,443395
916,331752
917,350864
918,328224
919,2826
920,4521
921,4095
922,1171
923,4191
924,3623
925,444733
926,1226
927,2887
928,4545
929,289758
930,251298
931,3914
932,267093
933,403615
934,362795
935,223699
936,403324
937,1230
938,302638
939,402759
940,334648
941,282584
942,270706
943,4317
944,1967
945,3324
946,738
947,3974
948,155193
949,401891
950,238138
951,200990
952,357804
953,4668
954,2928
955,401890
956,388156
957,385537
958,282919
959,428018
960,270602
961,4281
962,337837
963,254334
964,398437
965,352473
966,202650
967,409286
968,1234
969,230249
970,2156
971,351742
972,229278
973,403759
974,273440
975,4273
976,4275
977,262186
978,351464
979,429020
980,1437
981,1840
982,407308
983,1364
984,3566
985,285250
986,3216
987,1990
988,411707
989,440086
990,2124
991,1081
992,357246
993,376085
994,432363
995,1325
996,403133
997,1372
998,2729
999,1112
1000,2000
1001,435450
1002,442588
1003,347088
1004,273844
1005,1343
1006,331696
1007,1082
1008,287587
1009,1423
1010,2046
1011,1460
1012,299612
1013,414932
1014,994
1015,2005
1016,217930
1017,4053
1018,222939
1019,1882
1020,2703
1021,2425
1022,4671
1023,288151
1024,416078
1025,4037
1026,446471
1027,146309
1028,3596
1029,2428
1030,4724
1031,3470
1032,322461
1033,4145
1034,4432
1035,244127
1036,399107
1037,422299
1038,3144
1039,2283
1040,1689
1041,3944
1042,294482
1043,242509
1044,274187
1045,331361
1046,440236
1047,321115
1048,262637
1049,1047
1050,2852
1051,284197
1052,343686
1053,1876
1054,290114
1055,207742
1056,365608
1057,337927
1058,351468
1059,418165
1060,311949
1061,394556
1062,412076
1063,376471
1064,330393
1065,248600
1066,192430
1067,291038
1068,144022
1069,366705
1070,381136
1071,3365
1072,274421
1073,245155
1074,312432
1075,376821
1076,288660
1077,1637
1078,328719
1079,354706
1080,442639
1081,197093
1082,399354
1083,356151
1084,3108
1085,399244
1086,272652
1087,274192
1088,351030
1089,264407
1090,238495
1091,148666
1092,2598
1093,339827
1094,382575
1095,294896
1096,1134
1097,349192
1098,206796
1099,386561
1100,383020
1101,4352
1102,234297
1103,317338
1104,225202
1105,443634
1106,3063
1107,4460
1108,4131
1109,258738
1110,284792
1111,407918
1112,916
1113,357361
1114,1400
1115,4200
1116,288440
1117,441324
1118,386495
1119,377037
1120,250981
1121,4680
1122,4437
1123,4549
1124,158368
1125,2663
1126,232465
1127,4595
1128,155788
1129,1641
1130,271502
1131,2925
1132,3349
1133,176206
1134,216005
1135,244344
1136,309458
1137,383678
1138,155025
1139,359297
1140,354584
1141,432876
1142,430033
1143,755
1144,316898
1145,2437
1146,142100
1147,4419
1148,406222
1149,2381
1150,2223
1151,401719
1152,438816
1153,434110
1154,277483
1155,313021
1156,363519
1157,390388
1158,343497
1159,804
1160,2029
1161,3152
1162,2879
1163,380367
1164,950
1165,344713
1166,1152
1167,1410
1168,781
1169,865
1170,313818
1171,2791
1172,928
1173,2240
1174,2144
1175,362161
1176,3593
1177,292553
1178,303479
1179,3667
1180,2050
1181,403134
1182,360773
1183,310903
1184,4391
1185,363642
1186,380383
1187,1439
1188,857
1189,3421
1190,1897
1191,3202
1192,899
1193,150357
1194,2271
1195,251178
1196,915
1197,2606
1198,4532
1199,4525
1200,390908
1201,339592
1202,391215
1203,319667
1204,3847
1205,4484
1206,3341
1207,2512
1208,192947
1209,233138
1210,320368
1211,748
1212,319869
1213,3557
1214,354898
1215,277138
1216,271568
1217,374046
1218,2113
1219,4174
1220,1393
1221,4581
1222,3665
1223,2989
1224,4069
1225,420622
1226,4339
1227,4244
1228,408089
1229,3573
1230,401544
1231,377268
1232,4253
1233,4356
1234,3239
1235,230923
1236,354418
1237,418540
1238,413576
1239,1016
1240,1405
1241,231372
1242,375507
1243,3764
1244,797
1245,432174
1246,440740
1247,1578
1248,143641
1249,326176
1250,3856
1251,4418
1252,353308
1253,199310
1254,3358
1255,4501
1256,4430
1257,885
1258,1259
1259,389447
1260,391280
1261,442976
1262,3274
1263,860
1264,2996
1265,2258
1266,245986
1267,399554
1268,200989
1269,323707
1270,314366
1271,298633
1272,156612
1273,251623
1274,262298
1275,435123
1276,250399
1277,1981
1278,3653
1279,773
1280,222573
1281,1076
1282,724
1283,402774
1284,3600
1285,397646
1286,381231
1287,3795
1288,259211
1289,360469
1290,4624
1291,4197
1292,3776
1293,205437
1294,1801
1295,3046
1296,3791
1297,389010
1298,374074
1299,392641
1300,292463
1301,310309
1302,2282
1303,153553
1304,445322
1305,179501
1306,3430
1307,158220
1308,287528
1309,354139
1310,1865
1311,1383
1312,4098
1313,258648
1314,2836
1315,439791
1316,311531
1317,2452
1318,227598
1319,1062
1320,338939
1321,325812
1322,410569
1323,307287
1324,380223
1325,250784
1326,4150
1327,145426
1328,1592
1329,398415
1330,414410
1331,439686
1332,360745
1333,432333
1334,277634
1335,258183
1336,4227
1337,4394
1338,307803
1339,216479
1340,2461
1341,1588
1342,359592
1343,3621
1344,4061
1345,351027
1346,4036
1347,2749
1348,1121
1349,270993
1350,351561
1351,356901
1352,372059
1353,337422
1354,2246
1355,379193
1356,408051
1357,2905
1358,182191
1359,3902
1360,320485
1361,3400
1362,3935
1363,274792
1364,232589
1365,411520
1366,3481
1367,244670
1368,351401
1369,251625
1370,401983
1371,417478
1372,254415
1373,363491
1374,204198
1375,4426
1376,295638
1377,1111
1378,866
1379,3643
1380,929
1381,402957
1382,1628
1383,183912
1384,192051
1385,1575
1386,867
1387,2496
1388,179746
1389,2154
1390,998
1391,389072
1392,381759
1393,343332
1394,333874
1395,374925
1396,353234
1397,363321
1398,369856
1399,382022
1400,3757
1401,213117
1402,4364
1403,4079
1404,346815
1405,4562
1406,4004
1407,1465
1408,3410
1409,1260
1410,209079
1411,252281
1412,258382
1413,324919
1414,220796
1415,256514
1416,4333
1417,194232
1418,152057
1419,441192
1420,320474
1421,4346
1422,209542
1423,3537
1424,389154
1425,286092
1426,380467
1427,402189
1428,1299
1429,194651
1430,184953
1431,405417
1432,2507
1433,4523
1434,248169
1435,337222
1436,3810
1437,1264
1438,370035
1439,257988
1440,1359
1441,1114
1442,2972
1443,225340
1444,268303
1445,368015
1446,274194
1447,310145
1448,147045
1449,341340
1450,405708
1451,173457
1452,384077
1453,363345
1454,299157
1455,217372
1456,297614
1457,361737
1458,389633
1459,351419
1460,370624
1461,281679
1462,315450
1463,243297
1464,412230
1465,366054
1466,165753
1467,343663
1468,212697
1469,1403
1470,359490
1471,313038
1472,443064
1473,233019
1474,179743
1475,386917
1476,274186
1477,1398
1478,1609
1479,1610
1480,1611
1481,437254
1482,425232
1483,416515
1484,815
1485,1478
1486,1407
1487,328170
